FSFL_vector,AFL_vector,FSFL_AFL_vector,,corebeadsFL_vector,,,corebeadsFL_FS,corebeadsFL_A
88.60022573,1047.689362,1051.429027,,1176.221918,87,1173,87.00 ,1173.00 
88.60022573,2043.452471,2045.372338,,1867.317327,93,1865,93.00 ,1865.00 
88.60022573,3638.316644,3639.39528,,5009.018367,101,5008,101.00 ,5008.00 
88.60022573,7449.249761,7449.776641,,8124.84246,117,8124,117.00 ,8124.00 
216.1573501,542.4039085,583.888688,,411.0328454,228,342,228.00 ,342.00 
216.1573501,1047.689362,1069.755579,,1290.941517,237,1269,237.00 ,1269.00 
216.1573501,2043.452471,2054.85328,,2369.582242,234,2358,234.00 ,2358.00 
216.1573501,3638.316644,3644.732089,,4884.418184,230,4879,230.00 ,4879.00 
216.1573501,7449.249761,7452.385256,,9691.302957,253,9688,253.00 ,9688.00 
216.1573501,16071.28673,16072.74031,,18009.20801,282,18007,282.00 ,18007.00 
216.1573501,31125.39094,31126.14151,,30425.70394,322,30424,322.00 ,30424.00 
216.1573501,63914.55352,63914.91904,,62278.49832,432,62277,432.00 ,62277.00 
470.0053191,542.4039085,717.7095512,,678.4570731,400,548,400.00 ,548.00 
470.0053191,1047.689362,1148.284808,,1284.101631,441,1206,441.00 ,1206.00 
470.0053191,2043.452471,2096.807812,,2212.797551,443,2168,443.00 ,2168.00 
470.0053191,3638.316644,3668.549169,,4411.116072,451,4388,451.00 ,4388.00 
470.0053191,7449.249761,7464.062366,,9248.052768,472,9236,472.00 ,9236.00 
470.0053191,16071.28673,16078.15792,,18288.80874,499,18282,499.00 ,18282.00 
470.0053191,31125.39094,31128.93937,,34429.0183,526,34425,526.00 ,34425.00 
470.0053191,63914.55352,63916.28162,,73302.83777,645,73300,645.00 ,73300.00 
470.0053191,127072.8878,127073.757,,152891.4187,860,152889,860.00 ,152889.00 
787.3531609,1047.689362,1310.564,,1050.824914,667,812,667.00 ,812.00 
787.3531609,2043.452471,2189.891093,,2082.36044,657,1976,657.00 ,1976.00 
787.3531609,3638.316644,3722.53583,,4179.08746,664,4126,664.00 ,4126.00 
787.3531609,7449.249761,7490.744089,,8906.842594,678,8881,678.00 ,8881.00 
787.3531609,16071.28673,16090.5619,,12962.05971,684,12944,684.00 ,12944.00 
787.3531609,31125.39094,31135.34786,,30578.71482,730,30570,730.00 ,30570.00 
787.3531609,63914.55352,63919.40297,,58499.59416,809,58494,809.00 ,58494.00 
787.3531609,127072.8878,127075.327,,105491.7291,887,105488,887.00 ,105488.00 
787.3531609,263539.4961,263540.6722,,200897.0352,119,200897,119.00 ,200897.00 
1685.556585,542.4039085,1770.678684,,2083.054728,1594,1341,1594.00 ,1341.00 
1685.556585,2043.452471,2648.924122,,3386.772062,1600,2985,1600.00 ,2985.00 
1685.556585,3638.316644,4009.794135,,5313.819154,1607,5065,1607.00 ,5065.00 
1685.556585,7449.249761,7637.566563,,8121.045561,1559,7970,1559.00 ,7970.00 
1685.556585,16071.28673,16159.43558,,13692.87537,1540,13606,1540.00 ,13606.00 
1685.556585,31125.39094,31170.99713,,30069.8575,1567,30029,1567.00 ,30029.00 
1685.556585,127072.8878,127084.0663,,60531.41746,1452,60514,1452.00 ,60514.00 
1685.556585,263539.4961,263544.8863,,242038.5837,1916,242031,1916.00 ,242031.00 
2714.204303,3638.316644,4539.190787,,4190.372418,2186,3575,2186.00 ,3575.00 
2714.204303,7449.249761,7928.318044,,6645.438511,2182,6277,2182.00 ,6277.00 
2714.204303,16071.28673,16298.86997,,13116.17189,2322,12909,2322.00 ,12909.00 
2714.204303,31125.39094,31243.50918,,26514.70188,2354,26410,2354.00 ,26410.00 
2714.204303,63914.55352,63972.15845,,57593.66574,2318,57547,2318.00 ,57547.00 
2714.204303,127072.8878,127101.8714,,86357.29687,2131,86331,2131.00 ,86331.00 
1668.61919,235847.0211,235852.9238,,111498.7223,1931,111482,1931.00 ,111482.00 
3261.782641,1047.689362,3425.912871,,4000.324112,3088,2543,3088.00 ,2543.00 
3261.782641,2043.452471,3849.015978,,4823.117664,2960,3808,2960.00 ,3808.00 
3261.782641,3638.316644,4886.366134,,6161.274219,3182,5276,3182.00 ,5276.00 
3261.782641,7449.249761,8132.069109,,9609.299038,3208,9058,3208.00 ,9058.00 
3261.782641,16071.28673,16398.94762,,14646.47415,3103,14314,3103.00 ,14314.00 
3261.782641,31125.39094,31295.83338,,26059.8199,3073,25878,3073.00 ,25878.00 
3261.782641,63914.55352,63997.72947,,46826.76109,3055,46727,3055.00 ,46727.00 
3261.782641,127072.8878,127114.7436,,78834.02649,2998,78777,2998.00 ,78777.00 
8812.364325,2043.452471,9046.184997,,11933.65074,8932,7914,8932.00 ,7914.00 
8812.364325,3638.316644,9533.892856,,14348.35865,9714,10560,9714.00 ,10560.00 
8812.364325,7449.249761,11539.02453,,18233.72866,8606,16075,8606.00 ,16075.00 
8812.364325,16071.28673,18328.7758,,26873.12561,8564,25472,8564.00 ,25472.00 
8812.364325,31125.39094,32348.84428,,45626.6158,8138,44895,8138.00 ,44895.00 
8812.364325,63914.55352,64519.2058,,79162.33085,7720,78785,7720.00 ,78785.00 
8812.364325,127072.8878,127378.0852,,131513.2694,7164,131318,7164.00 ,131318.00 
19622.94269,3638.316644,19957.3853,,22685.09237,17354,14610,17354.00 ,14610.00 
19622.94269,7449.249761,20989.31161,,24768.05525,16320,18631,16320.00 ,18631.00 
19622.94269,16071.28673,25364.2689,,32470.54188,16743,27821,16743.00 ,27821.00 
19622.94269,31125.39094,36794.69854,,47693.73837,16626,44702,16626.00 ,44702.00 
19622.94269,63914.55352,66859.03104,,83560.51011,14499,82293,14499.00 ,82293.00 
19622.94269,127072.8878,128579.0756,,132635.2493,13775,131918,13775.00 ,131918.00 
13517.42239,235847.0211,236234.0747,,224392.5011,10515,224146,10515.00 ,224146.00 
19622.94269,263539.4961,264269.0407,,341370.2528,9644,341234,9644.00 ,341234.00 
66968.05359,16071.28673,68869.48859,,38035.8216,23021,30278,23021.00 ,30278.00 
66968.05359,31125.39094,73847.8853,,72470.1197,39349,60857,39349.00 ,60857.00 
66968.05359,263539.4961,271915.0349,,134579.3837,38690,128898,38690.00 ,128898.00 
55528.77125,31125.39094,63657.16297,,113537.8201,59081,96955,59081.00 ,96955.00 
55528.77125,63914.55352,84667.0809,,164665.4315,58554,153903,58554.00 ,153903.00 
55528.77125,127072.8878,138675.7486,,273657.4466,49540,269136,49540.00 ,269136.00 
55528.77125,263539.4961,269326.03,,433895.5914,40514,432000,40514.00 ,432000.00 
27313.56837,263539.4961,264951.1219,,260198.055,18703,259525,18703.00 ,259525.00 
6721.715555,263539.4961,263625.2026,,190396.7084,5844,190307,5844.00 ,190307.00 
3348.741256,263539.4961,263560.7711,,178483.5096,3300,178453,3300.00 ,178453.00 
1685.556585,63914.55352,63936.77543,,49895.92739,1577,49871,1577.00 ,49871.00 
5629.972025,2043.452471,5989.347461,,7163.646069,5324,4793,5324.00 ,4793.00 
5629.972025,7449.249761,9337.446493,,11087.65462,5274,9753,5274.00 ,9753.00 
5629.972025,16071.28673,17028.88259,,18100.55391,5304,17306,5304.00 ,17306.00 
5629.972025,31125.39094,31630.46864,,30273.46741,5277,29810,5277.00 ,29810.00 
5629.972025,63914.55352,64162.03501,,50527.65726,4812,50298,4812.00 ,50298.00 
5629.972025,136638.9002,136754.8377,,128489.2555,4455,128412,4455.00 ,128412.00 
